ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
1,0.083711754,0.0050559553,0.0052755901,0,0,0,0.05,1
1,0.082426476,0.0050533914,0.0052786367,0,0,0,0.05,1
1,0.081141205,0.005050825,0.0052816634,0,0,0,0.05,1
1,0.079855942,0.0050482563,0.0052846701,0,0,0,0.05,1
1,0.078570685,0.0050456851,0.0052876569,0,0,0,0.05,1
1,0.077285435,0.0050431115,0.0052906239,0,0,0,0.05,1
1,0.076000191,0.0050405356,0.0052935709,0,0,0,0.05,1
1,0.074714955,0.0050379572,0.005296498,0,0,0,0.05,1
1,0.073429725,0.0050353764,0.0052994052,0,0,0,0.05,1
1,0.072144503,0.0050327932,0.0053022924,0,0,0,0.05,1
1,0.070859287,0.0050302076,0.0053051598,0,0,0,0.05,1
1,0.069574078,0.0050276196,0.0053080072,0,0,0,0.05,1
1,0.068288876,0.0050250292,0.0053108348,0,0,0,0.05,1
1,0.067003681,0.0050224364,0.0053136424,0,0,0,0.05,1
1,0.065718493,0.0050198412,0.0053164301,0,0,0,0.05,1
1,0.064433311,0.0050172436,0.0053191979,0,0,0,0.05,1
1,0.063148137,0.0050146436,0.0053219458,0,0,0,0.05,1
1,0.061862969,0.0050120412,0.0053246737,0,0,0,0.05,1
1,0.060577808,0.0050094364,0.0053273818,0,0,0,0.05,1
1,0.059292654,0.0050068292,0.0053300699,0,0,0,0.05,1
1,0.058007507,0.0050042196,0.0053327382,0,0,0,0.05,1
1,0.056722367,0.0050016076,0.0053353865,0,0,0,0.05,1
1,0.055437233,0.0049989931,0.0053380149,0,0,0,0.05,1
1,0.054152107,0.0049963763,0.0053406234,0,0,0,0.05,1
1,0.052866987,0.0049937571,0.005343212,0,0,0,0.05,1
1,0.051581875,0.0049911354,0.0053457807,0,0,0,0.05,1
1,0.050296769,0.0049885114,0.0053483294,0,0,0,0.05,1
1,0.04901167,0.0049858849,0.0053508583,0,0,0,0.05,1
1,0.047726578,0.0049832561,0.0053533672,0,0,0,0.05,1
1,0.046441492,0.0049806248,0.0053558562,0,0,0,0.05,1
1,0.045156414,0.0049779912,0.0053583253,0,0,0,0.05,1
1,0.043871342,0.0049753551,0.0053607745,0,0,0,0.05,1
1,0.042586278,0.0049727167,0.0053632038,0,0,0,0.05,1
1,0.04130122,0.0049700758,0.0053656132,0,0,0,0.05,1
1,0.040016169,0.0049674325,0.0053680027,0,0,0,0.05,1
1,0.038731125,0.0049647869,0.0053703722,0,0,0,0.05,1
1,0.037446088,0.0049621388,0.0053727218,0,0,0,0.05,1
1,0.036161058,0.0049594883,0.0053750516,0,0,0,0.05,1
1,0.034876034,0.0049568354,0.0053773614,0,0,0,0.05,1
1,0.033591017,0.0049541802,0.0053796513,0,0,0,0.05,1
1,0.032306008,0.0049515225,0.0053819213,0,0,0,0.05,1
1,0.031021005,0.0049488624,0.0053841713,0,0,0,0.05,1
1,0.029736009,0.0049461999,0.0053864015,0,0,0,0.05,1
1,0.02845102,0.004943535,0.0053886117,0,0,0,0.05,1
1,0.027166038,0.0049408677,0.0053908021,0,0,0,0.05,1
1,0.025881062,0.004938198,0.0053929725,0,0,0,0.05,1
1,0.024596094,0.0049355259,0.005395123,0,0,0,0.05,1
1,0.023311132,0.0049328514,0.0053972536,0,0,0,0.05,1
1,0.022026177,0.0049301745,0.0053993643,0,0,0,0.05,1
1,0.02074123,0.0049274951,0.0054014551,0,0,0,0.05,1
1,0.019456288,0.0049248134,0.0054035259,0,0,0,0.05,1
1,0.018171354,0.0049221293,0.0054055769,0,0,0,0.05,1
1,-0.0044679233,0.0049367544,0.0055904393,0,0,0,0.05,1
1,-0.0044528633,0.0049343864,0.0055877002,0,0,0,0.05,1
1,-0.0044378033,0.0049320185,0.0055849613,0,0,0,0.05,1
1,-0.0044227433,0.0049296506,0.0055822225,0,0,0,0.05,1
1,-0.0044076833,0.0049272827,0.0055794839,0,0,0,0.05,1
1,-0.0043926233,0.0049249147,0.0055767453,0,0,0,0.05,1
1,-0.0043775633,0.0049225468,0.0055740068,0,0,0,0.05,1
1,-0.0043625034,0.0049201789,0.0055712685,0,0,0,0.05,1
1,-0.0043474434,0.004917811,0.0055685303,0,0,0,0.05,1
1,-0.0043323835,0.0049154431,0.0055657922,0,0,0,0.05,1
